# Constructed from biom file																																																																																																																																																																																																													
#OTU ID	G40215	G40216	G40217	G40218	G40219	G40222	G40226	G40227	G40229	G40230	G40232	G40233	G40234	G40236	G40237	G40239	G40240	G40241	G40242	G40243	G40245	G40246	G40247	G40248	G40249	G40252	G40253	G40254	G40255	G40256	G40257	G40258	G40259	G40260	G40261	G40263	G40265	G40266	G40267	G40268	G40272	G40273	G40275	G40276	G40277	G40278	G40280	G40282	G40283	G40285	G40289	G40292	G40293	G40294	G40295	G40297	G40299	G40300	G40301	G40304	G40307	G40309	G40311	G40312	G40314	G40317	G40318	G40319	G40322	G40323	G40324	G40325	G40326	G40327	G40328	G40329	G40331	G40334	G40335	G40336	G40338	G40341	G40342	G40343	G40346	G40348	G40568	G40569	G40570	G40571	G40572	G40573	G40574	G40575	G40576	G40577	G40592	G40594	G40596	G40600	G40604	G40606	G40608	G40609	G40610	G40611	G40612	G40614	G40615	G40616	G40617	G40618	G40621	G40623	G40624	G40626	G40627	G40629	G40630	G40631	G40636	G40638	G40639	G40640	G40641	G40642	G40643	G40644	G40645	G40647	G40648	G40649	G40650	G40651	G40652	G40653	G40655	G40656	G40657	G40662	G40664	G40665	G40666	G40668	G40669	G40671	G40672	G40673	G40675	G40676	G40677	G40678	G40680	G40682	G40683	G40684	G40685	G40687	G40688	G40690	G40691	G40692	G40693	G40695	G40696	G40697	G40699	G40700	G40701	G40702	G40703	G40704	G40705	G40707	G40708	G40709	G40711	G40712	G40713	G40714	G40716	G40717	G40718	G40720	G40721	G40722	G40723	G40725	G40726	G40727	G40728	G40729	G40731	G40732	G40733	G40734	G40735	G40738	G40742	G40744	G40745	G40746	G40747	G40748	G40749
63dd3986b722a781191c5053e5b46443	2861	698	4352	80	0	2189	0	2526	167	1249	24	882	419	1649	29	0	3835	91	2740	3168	43	112	71	25	986	372	3200	195	3029	268	485	0	67	96	0	27	1968	277	898	15	0	0	6756	4454	6972	0	336	227	137	0	26	14060	0	0	378	0	48	0	0	0	2470	332	0	12101	0	0	124	10	165	678	2855	419	75	0	0	887	598	760	812	0	795	0	741	494	2285	721	570	1508	43	0	12419	6123	17	255	9381	8914	38	1488	2974	5346	1138	931	0	328	588	882	0	1402	20	0	373	375	791	109	8346	63	26	3387	11465	1771	0	597	1538	0	0	0	1147	0	684	635	827	0	205	33	386	202	0	1303	196	137	2760	2593	0	0	2613	21	368	256	0	3732	171	0	0	0	206	84	0	9619	300	824	773	0	509	676	0	751	282	0	2809	99	1784	0	0	528	4316	3488	1776	0	939	1582	2437	163	1413	0	2093	847	0	868	75	70	13810	307	794	1549	75	346	297	5422	2099	2345	522	5069	0	0	8025
a8950ea716619e3682e2a34473e5adc7	2095	21	0	4026	1603	49	124	2032	0	1655	5650	2698	1598	0	3060	2064	360	1331	0	0	0	94	0	0	0	1332	19	114	0	0	0	359	35	2075	378	2742	0	1404	0	0	0	0	0	0	13879	0	0	515	204	0	1021	0	0	0	13906	188	706	0	0	0	0	0	0	989	0	0	10	0	220	0	0	43	25	0	0	157	0	95	0	1541	0	0	0	0	0	0	0	0	2463	0	0	0	0	3625	0	0	0	0	0	2021	1451	1141	0	0	31	42544	0	1987	0	0	0	0	20	403	0	0	621	4087	0	2162	0	6666	0	0	0	0	9283	264	0	26	902	1766	8699	1130	4227	23	5144	0	0	37	632	2146	0	0	0	1132	340	320	6640	0	2516	0	5922	23	14888	66	0	2576	0	8531	2418	25	1044	5727	0	0	0	1628	0	0	5487	4088	0	7272	0	120	0	0	0	0	792	0	138	5705	0	782	0	0	9817	1935	0	563	85	192	0	567	9187	2804	0	0	0	971	0	538	0
8d29a4b0e2aa4632d98d3b302ea9ef31	2964	27	250	1856	203	149	0	275	0	38	348	0	1622	0	144	0	0	1406	817	243	0	44	187	805	380	0	71	5	1750	885	0	0	6885	107	1078	1154	146	1300	14	0	0	0	0	0	0	0	4410	623	489	0	332	47	0	6059	1868	3247	0	134	3116	0	0	0	0	0	3195	0	4055	0	996	990	263	1175	37	6285	10423	0	2916	455	831	0	0	0	1278	0	0	287	0	747	385	4675	2316	0	38	87	0	0	35	19	269	138	120	82	0	0	728	0	1498	449	5155	0	5531	0	0	177	670	3143	1128	4181	393	123	2308	1498	0	911	4672	22835	0	1800	3463	1517	0	319	0	44	0	263	450	1117	724	0	60	0	0	0	543	0	11388	408	0	0	2971	0	7443	3579	4430	0	0	948	1750	2015	1055	0	1075	2158	898	1111	4593	3739	25	0	2480	0	0	1570	140	799	0	0	399	838	1355	0	381	888	2760	585	0	496	0	0	1734	339	31	196	0	75	866	0	4250	0	452	892	21	3938	36
8b7cd55d5449f3c0aa282f514ca5995b	0	0	0	4436	1400	0	36	194	1020	0	235	247	473	0	1710	629	717	0	0	206	33	426	0	0	612	65	136	798	0	1606	0	38	0	719	37	1872	0	2222	0	0	0	0	0	177	0	0	971	796	739	0	25	0	0	3923	1233	85	555	0	0	0	0	0	0	2234	0	0	14	0	86	1663	0	350	154	0	0	0	2669	0	900	2028	0	0	119	65	0	0	1239	1082	1291	0	0	0	35	175	0	0	106	308	0	0	931	571	0	1876	0	7604	0	4128	0	0	0	6822	0	540	0	2234	197	6942	0	3408	0	3944	3087	0	17	0	0	3975	4002	0	628	1299	2990	122	2386	41	454	1061	1466	0	53	555	0	0	0	3043	1376	1913	1074	1901	3615	0	4150	0	3646	30	0	2709	3393	1479	0	0	1719	1703	0	4321	9341	639	0	32	14656	0	108	653	1616	0	0	0	759	5761	8718	1037	0	4608	6141	4461	0	246	3104	1486	0	450	0	0	0	937	1404	69	0	0	34	769	0	33	0
5a6289b8068d8b7722dafb10cc3d0b76	0	0	0	4979	739	164	218	678	2333	1040	1493	613	24	0	1990	1963	0	0	0	0	251	114	89	0	0	0	742	1666	0	787	0	145	19	649	0	4853	0	0	0	0	0	0	0	2108	3029	0	0	333	183	0	0	0	0	0	0	0	1986	0	0	0	0	0	0	101	0	0	0	0	0	93	0	1255	252	0	0	2203	1483	837	2079	14333	0	0	640	128	292	0	0	6146	1549	23234	0	0	20	0	0	0	847	74	0	0	481	640	0	0	0	0	0	2160	0	0	510	8672	0	489	0	2481	1850	5518	1996	0	0	2780	0	11	0	0	294	3474	1917	0	0	4674	4782	212	0	0	0	0	1486	127	0	2849	0	0	1033	91	4365	958	733	0	26	0	5676	0	1692	0	0	0	2101	11288	0	0	0	2765	0	0	0	560	0	2349	3800	0	367	644	0	0	0	0	0	9035	0	0	1254	2002	800	0	0	633	7251	378	0	0	207	1400	169	7776	0	0	0	371	0	0	0	127	0
e6e736770ba0182e08607e5032536759	0	0	3278	3031	985	1785	200	1131	1383	1262	1302	221	2275	0	0	820	912	0	846	137	406	1355	0	0	306	540	177	408	0	1283	277	664	0	657	677	1759	0	204	0	0	0	0	0	181	5529	0	0	856	560	0	254	0	0	0	4150	4606	753	0	0	0	2375	0	0	0	0	0	45	0	255	0	0	1587	0	0	0	0	464	1789	392	3423	41	0	0	407	0	0	1091	1970	987	0	943	0	93	571	1549	1661	0	1311	0	0	1226	2856	0	4234	568	3945	0	1809	0	0	499	3524	0	559	174	3057	1260	5675	0	4549	0	4391	0	0	0	0	0	2719	701	24	1383	1704	0	641	0	1005	1367	0	821	204	0	0	0	0	0	545	1077	1769	313	0	0	0	1399	0	3079	0	0	8880	1965	5566	0	0	0	4039	0	174	0	2280	1855	0	0	887	1114	1790	0	2200	6370	0	0	3947	10254	2636	4058	4150	0	0	0	0	3035	2086	0	1131	70	57	539	1766	0	2233	0	0	294	3160	0	900	0
1d3c676d5555d4b2aa01154ec1d44206	0	0	0	0	0	0	0	0	0	0	3760	38	0	4619	0	3615	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	3990	0	713	0	0	0	0	0	0	18021	16	0	0	0	0	0	0	0	0	2391	0	530	0	0	0	0	0	0	8144	0	0	0	0	1536	0	0	0	266	0	0	0	0	0	0	18939	0	0	0	0	0	0	0	0	783	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	24347	0	0	0	0	0	0	0	2232	0	0	1873	0	0	0	0	10706	0	0	26	0	28	0	0	0	9837	0	0	0	0	0	0	0	0	0	0	1416	0	0	0	0	0	0	3906	56	0	0	19931	0	16279	0	0	0	0	1315	0	0	0	0	0	10	0	0	0	1888	287	0	1636	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	20563	0	0	89	0	0	0	0	0	0	0	0	0	0	12	0	0
c5c368fa5d36912d8a01dbdf80cf9aea	0	0	0	1892	3879	106	74	475	3326	0	881	68	24	0	2247	7381	4812	1330	0	0	0	0	0	0	0	0	27	301	0	185	0	530	0	2334	3768	478	0	1204	0	0	0	0	0	0	0	0	0	1436	1034	0	122	0	0	0	0	12379	828	0	0	0	0	0	0	0	0	0	0	0	0	810	0	10	0	0	0	67	4322	0	0	2552	0	0	0	24	0	0	0	571	288	0	0	0	15	76	0	0	0	16	51	0	0	272	0	1296	0	28530	0	0	0	0	0	0	0	0	0	11473	59	990	0	0	0	0	0	0	0	0	0	1390	9581	0	0	2752	0	1614	268	0	7044	0	0	512	90	0	0	0	0	0	746	972	791	0	2644	0	3006	0	465	0	0	0	1959	624	0	0	4502	4766	0	0	3233	810	0	3963	105	686	515	6793	0	0	0	0	0	616	777	473	0	10941	2478	0	0	0	4291	219	0	572	0	0	0	159	0	0	0	0	0	0	0	0	0
499c26dbde4691c9dd12aa4400bce7be	0	464	0	0	0	0	834	0	0	0	0	139	0	0	0	0	0	0	0	0	6300	0	268	2642	0	0	0	9948	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1900	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	62	0	0	223	562	0	5494	0	0	0	0	0	0	0	0	0	4508	0	0	0	0	0	23890	22002	8014	22581	0	0	0	703	2868	0	2526	0	0	0	0	0	0	0	838	0	0	26	0	0	0	0	0	0	0	0	0	0	0	323	431	0	0	8212	0	0	4699	0	0	0	0	789	298	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	15790	0	43	0	0	0	63	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	92	0	0	0	0	0	0	0	0	14101	0	0	0	0	0	0	58	0	0
f0d3ad42c3754a9af2c18ab6f102bb28	0	13	0	239	871	0	99	0	109	0	1431	0	0	1519	0	0	0	0	6	0	10	1142	0	7263	1350	0	0	0	0	0	0	14	0	866	25	0	1691	61	0	26	15	4961	0	47	34	0	264	248	211	0	65	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	3805	25	0	9	0	0	0	0	627	0	0	0	0	45	15842	12521	0	0	0	0	0	0	3203	0	0	0	5405	0	0	0	0	12436	0	0	0	0	103	127	0	0	0	53	1656	0	0	15	0	0	0	0	31513	0	0	41	0	71	351	0	0	0	0	24	0	4	0	0	0	0	0	0	0	0	1475	0	0	26	0	0	0	0	0	0	61	0	472	2473	335	90	389	4801	0	0	35	0	0	955	0	260	252	0	0	0	4844	0	0	3559	59	0	5454	12	0	0	0	702	1443	17939	112	3109	29	334	56	0	0	0	0	0	12	0	20	0
