"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_injury_q1","pct_injury_q2","pct_injury_q3","pct_injury_q4","pct_injury_q5","pct_injury_q6","pct_injury_q7","pct_injury_q8","pct_injury_q9","pct_injury_q10","pct_injury_q11","INT","distance","weights","subclass"
"62",360050051002,1,924,952,2649,7.39901849754624,12.7217818044545,14.1940354850887,13.1747829369573,7.28576821442054,22.6500566251416,74.4431861079653,2.90675726689317,44.3563609,13.5522839,5.6625142,38.2352941176471,61.7647058823529,4.93697478991597,4.09663865546218,28.781512605042,62.1848739495798,40.7040704070407,81.4081408140814,204.620462046205,246.424642464246,236.523652365237,376.237623762376,346.534653465347,352.035203520352,495.049504950495,363.036303630363,617.161716171617,1,0.357294823668696,1,"108"
"63",360050051003,1,865,897,2554,12.3335943617854,6.81284259984338,13.9389193422083,13.9389193422083,8.6530931871574,23.1401722787784,75.5677368833203,0.939702427564605,53.0956113,9.169279,4.2319749,32.2185061315496,67.7814938684504,3.90189520624303,4.45930880713489,34.1137123745819,57.5250836120401,26.0355029585799,82.8402366863905,134.91124260355,231.952662721893,260.355029585799,213.01775147929,422.485207100592,435.502958579882,383.431952662722,307.692307692308,481.656804733728,1,0.53706026706054,1,"109"
"65",360050053001,0,0,740,1662,10.3489771359807,9.08543922984356,16.0048134777377,12.9362214199759,4.57280385078219,52.7075812274368,46.690734055355,0.36101083032491,58.2769231,8,3.5076923,9.18918918918919,90.8108108108108,0.540540540540541,1.08108108108108,14.3243243243243,81.8918918918919,40.7470288624788,88.2852292020374,183.361629881154,237.691001697793,314.091680814941,254.668930390492,380.305602716469,434.634974533107,412.563667232598,390.492359932088,616.298811544992,0,0.891383295135474,2.01694915254237,"46"
"66",360050053002,0,0,972,2204,5.9437386569873,9.57350272232305,16.6969147005445,15.1542649727768,6.53357531760436,45.3720508166969,48.1397459165154,5.53539019963702,60.5716878,4.0381125,3.1760436,18.6213991769547,81.3786008230453,7.09876543209876,0.925925925925926,2.57201646090535,89.40329218107,30.9859154929577,76.056338028169,147.887323943662,185.915492957746,169.014084507042,185.915492957746,325.352112676056,281.69014084507,405.633802816901,338.028169014084,604.225352112676,0,0.688440429902637,2.01694915254237,"105"
"76",360050061001,0,0,348,784,14.7959183673469,2.04081632653061,2.04081632653061,11.9897959183673,29.9744897959184,63.3928571428571,24.6173469387755,5.10204081632653,2.5510204,13.1377551,6.8877551,15.2298850574713,84.7701149425287,3.73563218390805,10.0574712643678,3.16091954022989,83.0459770114943,0,0,0,0,0,0,0,0,0,0,0,0,0.0434800534336886,0.504237288135593,"98"
"78",360050062003,1,831,655,1830,1.53005464480874,3.11475409836066,17.1584699453552,15.9016393442623,14.2622950819672,31.0382513661202,67.8142076502732,1.14754098360656,35.9016393,2.5136612,26.6666667,10.6870229007634,89.3129770992366,2.90076335877863,0,9.16030534351145,87.9389312977099,77.6942355889724,125.31328320802,293.233082706767,310.77694235589,388.471177944862,375.93984962406,350.877192982456,541.353383458647,676.691729323308,451.127819548872,606.516290726817,1,0.770680557858263,1,"115"
"91",360050065002,0,0,1203,2897,7.14532274767,6.24784259578875,18.9851570590266,17.155678287884,9.87228167069382,43.7003797031412,53.3655505695547,2.79599585778391,53.5726614,7.4905074,4.6254746,14.214463840399,85.785536159601,2.66001662510391,2.32751454696592,20.3657522859518,74.6467165419784,29.8507462686567,44.7761194029851,118.336886993603,149.253731343284,191.897654584222,249.466950959488,380.597014925373,307.036247334755,335.820895522388,309.168443496802,445.628997867804,0,0.820873336634864,2.01694915254237,"37"
"93",360050065004,0,0,173,610,8.52459016393443,19.344262295082,7.70491803278689,13.2786885245902,6.39344262295082,31.1475409836066,66.7213114754098,2.13114754098361,67.4457429,0,2.0033389,69.364161849711,30.635838150289,0,50.2890173410405,24.8554913294798,24.8554913294798,27.6497695852535,55.2995391705069,152.073732718894,239.63133640553,92.1658986175115,138.248847926267,322.58064516129,294.930875576037,207.373271889401,460.829493087558,557.603686635945,0,0.54712279150951,2.01694915254237,"113"
"95",360050067003,1,526,415,1370,4.67153284671533,16.6423357664234,12.4087591240876,12.043795620438,9.48905109489051,51.1678832116788,43.3576642335766,5.47445255474453,49.8540146,25.3284672,0,54.9397590361446,45.0602409638554,16.8674698795181,9.63855421686747,3.37349397590361,70.1204819277108,28.1385281385281,43.2900432900433,103.896103896104,112.554112554113,238.095238095238,220.779220779221,166.666666666667,242.424242424242,233.766233766234,281.385281385281,261.904761904762,1,0.319686237408605,1,"116"
"96",360050067004,1,495,529,1707,12.3022847100176,17.7504393673111,13.7082601054482,16.7545401288811,4.21792618629174,57.9379027533685,42.0620972466315,0,46.25323,34.496124,12.2093023,51.4177693761815,48.5822306238185,9.82986767485822,6.42722117202268,0,83.7429111531191,22.7576974564926,77.6439089692102,92.3694779116466,171.352074966533,194.109772423025,120.481927710843,365.461847389558,235.609103078983,313.253012048193,281.124497991968,456.492637215529,1,0.84327537708788,1,"117"
