"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_asthma_q1","pct_asthma_q2","pct_asthma_q3","pct_asthma_q4","pct_asthma_q5","pct_asthma_q6","pct_asthma_q7","pct_asthma_q8","pct_asthma_q11","pct_asthma_q9","pct_asthma_q10","INT","distance","weights","subclass"
"78",360050062003,1,831,655,1830,1.53005464480874,3.11475409836066,17.1584699453552,15.9016393442623,14.2622950819672,31.0382513661202,67.8142076502732,1.14754098360656,35.9016393,2.5136612,26.6666667,10.6870229007634,89.3129770992366,2.90076335877863,0,9.16030534351145,87.9389312977099,18.1159420289855,19.9275362318841,14.4927536231884,10.8695652173913,16.304347826087,10.8695652173913,14.4927536231884,7.2463768115942,16.304347826087,10.8695652173913,14.4927536231884,1,0.729612169850081,1,"112"
"83",360050063004,0,0,406,767,5.86701434159061,7.04041720990874,3.78096479791395,23.4680573663625,6.1277705345502,15.3846153846154,51.3689700130378,16.8187744458931,33.8983051,1.5645372,0,85.7142857142857,14.2857142857143,3.94088669950739,0,40.1477832512315,55.9113300492611,22.0264317180617,8.81057268722467,13.215859030837,8.81057268722467,13.215859030837,4.40528634361234,0,0,0,13.215859030837,0,0,0.00418457550929525,0.515217391304348,"31"
"85",360050063006,0,0,703,1523,5.84372948128693,9.7833223900197,7.55088640840447,15.7583716349311,8.66710439921208,22.521339461589,67.1700590938936,4.00525279054498,32.3046619,3.8082731,8.0105056,85.348506401138,14.651493598862,2.56045519203414,0,23.3285917496444,74.1109530583215,48.3870967741935,40.3225806451613,32.258064516129,26.8817204301075,29.5698924731183,16.1290322580645,5.37634408602151,13.4408602150538,16.1290322580645,21.505376344086,18.8172043010753,0,0.0390311240781129,0.515217391304348,"104"
"91",360050065002,0,0,1203,2897,7.14532274767,6.24784259578875,18.9851570590266,17.155678287884,9.87228167069382,43.7003797031412,53.3655505695547,2.79599585778391,53.5726614,7.4905074,4.6254746,14.214463840399,85.785536159601,2.66001662510391,2.32751454696592,20.3657522859518,74.6467165419784,19.1570881226054,28.0970625798212,6.38569604086845,7.66283524904215,26.8199233716475,20.4342273307791,12.7713920817369,10.2171136653895,7.66283524904215,17.8799489144317,12.7713920817369,0,0.739358775087787,2.06086956521739,"66"
"93",360050065004,0,0,173,610,8.52459016393443,19.344262295082,7.70491803278689,13.2786885245902,6.39344262295082,31.1475409836066,66.7213114754098,2.13114754098361,67.4457429,0,2.0033389,69.364161849711,30.635838150289,0,50.2890173410405,24.8554913294798,24.8554913294798,16.6666666666667,50,41.6666666666667,33.3333333333333,33.3333333333333,33.3333333333333,16.6666666666667,16.6666666666667,16.6666666666667,33.3333333333333,25,0,0.554292122586081,2.06086956521739,"87"
"95",360050067003,1,526,415,1370,4.67153284671533,16.6423357664234,12.4087591240876,12.043795620438,9.48905109489051,51.1678832116788,43.3576642335766,5.47445255474453,49.8540146,25.3284672,0,54.9397590361446,45.0602409638554,16.8674698795181,9.63855421686747,3.37349397590361,70.1204819277108,50.8474576271187,23.728813559322,30.5084745762712,27.1186440677966,30.5084745762712,27.1186440677966,13.5593220338983,10.1694915254237,27.1186440677966,23.728813559322,16.9491525423729,1,0.305976709376348,1,"113"
"96",360050067004,1,495,529,1707,12.3022847100176,17.7504393673111,13.7082601054482,16.7545401288811,4.21792618629174,57.9379027533685,42.0620972466315,0,46.25323,34.496124,12.2093023,51.4177693761815,48.5822306238185,9.82986767485822,6.42722117202268,0,83.7429111531191,33.5195530726257,47.4860335195531,27.9329608938547,27.9329608938547,44.6927374301676,30.7262569832402,22.3463687150838,19.5530726256983,27.9329608938547,39.1061452513966,30.7262569832402,1,0.856125344192789,1,"114"
"97",360050067006,0,0,241,696,0,9.48275862068965,24.1379310344828,29.3103448275862,5.45977011494253,11.2068965517241,44.5402298850575,44.2528735632184,70.9770115,4.8850575,0,37.344398340249,62.655601659751,25.7261410788382,48.5477178423236,19.0871369294606,6.63900414937759,12.396694214876,16.5289256198347,20.6611570247934,8.26446280991736,33.0578512396694,4.13223140495868,33.0578512396694,16.5289256198347,20.6611570247934,37.1900826446281,16.5289256198347,0,0.420843651328324,2.06086956521739,"108"
"103",360050069003,1,498,510,1231,5.60519902518278,6.25507717303006,10.5605199025183,17.3842404549147,16.5718927701056,43.216896831844,54.7522339561332,0,53.327787,9.5673877,11.8968386,35.8823529411765,64.1176470588235,2.94117647058824,0,3.92156862745098,93.1372549019608,33.4928229665072,23.9234449760766,11.9617224880383,7.17703349282297,35.8851674641148,21.5311004784689,26.3157894736842,14.3540669856459,19.1387559808612,21.5311004784689,14.3540669856459,1,0.772145393047477,1,"1"
"109",360050071002,0,0,668,1661,9.4521372667068,10.1143889223359,13.3052378085491,8.12763395544853,4.63576158940397,34.3166767007827,60.3251053582179,4.81637567730283,37.4375,3.25,0,15.2694610778443,84.7305389221557,6.1377245508982,5.68862275449102,11.9760479041916,76.1976047904192,42.4528301886792,37.7358490566038,37.7358490566038,18.8679245283019,56.6037735849057,56.6037735849057,47.1698113207547,9.43396226415094,51.8867924528302,47.1698113207547,37.7358490566038,0,0.239315782310866,1.0304347826087,"77"
"114",360050073001,0,0,511,1342,5.14157973174367,6.25931445603577,16.2444113263785,17.7347242921013,6.18479880774963,28.5394932935917,67.1385991058122,3.20417287630402,54.749439,8.3769634,3.9640987,30.9197651663405,69.0802348336595,11.545988258317,9.19765166340509,27.7886497064579,51.46771037182,43.613707165109,31.1526479750779,12.4610591900312,9.34579439252336,28.0373831775701,24.9221183800623,18.6915887850467,3.11526479750779,15.5763239875389,34.2679127725857,40.4984423676012,0,0.646128848956431,2.06086956521739,"79"
"118",360050074003,0,0,621,1230,3.08943089430894,5.20325203252033,5.44715447154472,34.7154471544715,24.2276422764228,48.6178861788618,47.6422764227642,4.71544715447155,14.0650407,5.203252,2.8455285,3.05958132045089,96.9404186795491,0,2.89855072463768,3.5426731078905,93.5587761674718,5.51724137931034,2.75862068965517,2.75862068965517,4.13793103448276,0,2.75862068965517,1.37931034482759,0,2.75862068965517,0,1.37931034482759,0,0.331651207092229,1.0304347826087,"11"
"120",360050075003,1,501,555,1124,5.4270462633452,8.54092526690392,10.8540925266904,16.1921708185053,15.3914590747331,33.8967971530249,63.7010676156584,0,43.2384342,10.8540925,5.5160142,34.954954954955,65.045045045045,4.5045045045045,0,9.18918918918919,86.3063063063063,25.3521126760563,11.2676056338028,11.2676056338028,2.8169014084507,14.0845070422535,11.2676056338028,5.63380281690141,2.8169014084507,11.2676056338028,8.45070422535211,16.9014084507042,1,0.418254622021717,1,"9"
"144",360050085001,0,0,272,754,3.84615384615385,7.16180371352785,10.2122015915119,24.0053050397878,10.4774535809019,8.62068965517241,91.3793103448276,0,59.3880389,14.8817803,5.8414465,86.3970588235294,13.6029411764706,9.92647058823529,0,66.9117647058823,23.1617647058824,34.6153846153846,11.5384615384615,23.0769230769231,26.9230769230769,38.4615384615385,26.9230769230769,7.69230769230769,15.3846153846154,7.69230769230769,19.2307692307692,15.3846153846154,0,0.278861060045459,2.06086956521739,"2"
