"","Finished","Q1","Q2","Q3","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14","Q15","Q16","Q17","group","sum"
"130","1","1","3,5","38","2","4","2","2","5","3","1","3","4","5","3","1","5","2","group1 & group2",31
"132","0","1","3,5","15","","","","","","","","","","","","","","","group1 & group2",0
"133","1","1","1,2","5","2","2","3","2","5","3","2","3","3","3","2","3","5","2","group1",28
"134","0","1","1,5","47","","","","","","","","","","","","","","","group1 & group2",0
"135","1","1","5","22","4","4","4","3","3","3","2","4","4","2","2","2","5","2","group2",33
"136","0","1","5","47","","","","","","","","","","","","","","","group2",0
"137","0","1","1,2","33","","","","","","","","","","","","","","","group1",0
"138","1","1","5","33","4","3","4","4","3","2","2","4","4","4","2","2","5","2","group2",34
"139","0","1","1","22","","","","","","","","","","","","","","","group1",0
"140","0","1","1,3,5","21","","","","","","","","","","","","","","","group1 & group2",0
"141","1","1","5","43","2","2","4","4","5","5","3","4","3","5","2","1","5","2","group2",37
"142","0","1","1,2","33","","","","","","","","","","","","","","","group1",0
"143","0","1","3","47","","","","","","","","","","","","","","","group1",0
"144","1","1","1,3,5","39","2","2","4","4","3","4","1","2","2","5","4","2","5","2","group1 & group2",29
"145","0","1","1,5","21","","","","","","","","","","","","","","","group1 & group2",0
"147","0","1","5","47","","","","","","","","","","","","","","","group2",0
"148","1","1","5","26","4","2","1","4","2","4","3","3","2","4","1","1","5","2","group2",29
"149","1","1","1,2,3","33","3","3","2","4","5","4","2","2","2","2","2","1","2","2","group1",29
"150","0","1","5","35","","","","","","","","","","","","","","","group2",0
"152","0","1","1","44","","","","","","","","","","","","","","","group1",0
"153","0","1","1,3","33","","","","","","","","","","","","","","","group1",0
"155","0","1","5","","","","","","","","","","","","","","","","group2",0
"157","1","1","5","17","4","4","4","3","4","4","2","4","2","4","1","1","5","2","group2",35
"158","0","1","5","6","","","","","","","","","","","","","","","group2",0
"159","0","1","5","47","","","","","","","","","","","","","","","group2",0
"160","0","1","1","5","","","","","","","","","","","","","","","group1",0
"161","0","1","1,2,5","21","","","","","","","","","","","","","","","group1 & group2",0
"162","0","1","5","6","","","","","","","","","","","","","","","group2",0
"165","1","1","3,4,5","32","2","2","3","1","4","2","2","1","1","1","2","1","5","1","group1 & group2",19
"166","0","1","1,5","44","","","","","","","","","","","","","","","group1 & group2",0
"168","1","1","1","44","3","4","3","3","4","4","3","3","4","3","3","1","5","2","group1",34
"169","0","1","5","7","","","","","","","","","","","","","","","group2",0
"171","1","1","3","22","3","3","2","3","4","2","3","2","2","3","3","2","5","2","group1",27
"172","1","1","3,4","22","1","2","2","2","1","2","2","4","2","","3","2","5","2","group1 & group2",18
"173","1","1","1,3,7","47","3","3","3","4","4","5","3","3","3","1","3","1","5","2","group1",32
"174","1","1","3,5","49","4","3","2","2","5","2","1","1","2","2","2","2","5","2","group1 & group2",24
"175","1","1","1,5","39","2","2","1","2","4","3","2","2","2","2","2","1","6","1","group1 & group2",22
"176","0","1","1","44","","","","","","","","","","","","","","","group1",0
"177","1","1","5,7","29","2","2","2","2","5","2","1","1","2","3","2","1","5","2","group2",22
"178","1","1","5","29","","","","","","","","","","","","","","","group2",0
"179","1","1","5","29","2","1","2","3","4","2","1","2","3","1","2","2","5","2","group2",21
"180","0","1","5","48","","","","","","","","","","","","","","","group2",0
"181","1","1","1,3","48","4","2","4","4","5","4","2","4","5","2","3","1","5","2","group1",36
